,Rank,Player 1,Player 2,Stage,Winner
0,platinum-platinum,Marth,Fox,Pokémon Stadium,Player 1
1,master-diamond,Jigglypuff,Falco,Pokémon Stadium,Player 2
2,platinum-platinum,Peach,Pikachu,Pokémon Stadium,Player 2
3,master-diamond,Fox,Fox,Pokémon Stadium,Player 2
4,platinum-platinum,Fox,Roy,Yoshi’s Story,Player 2
5,master-platinum,Fox,Samus,Yoshi’s Story,Player 1
6,master-diamond,Sheik,Pikachu,Final Destination,Player 2
7,diamond-diamond,Fox,Jigglypuff,Fountain of Dreams,Player 2
8,diamond-diamond,Captain Falcon,Yoshi,Final Destination,Player 1
9,master-master,Ganondorf,Falco,Yoshi’s Story,Player 2
10,diamond-diamond,Jigglypuff,Falco,Final Destination,Player 1
11,diamond-diamond,Fox,Jigglypuff,Yoshi’s Story,Player 2
12,master-master,Falco,Marth,Yoshi’s Story,Player 1
13,master-master,Fox,Jigglypuff,Fountain of Dreams,Player 1
14,master-diamond,Mr. Game & Watch,Marth,Yoshi’s Story,Player 1
15,platinum-diamond,Peach,Falco,Final Destination,Player 1
16,platinum-diamond,Falco,Falco,Pokémon Stadium,Player 2
17,platinum-diamond,Fox,Ice Climbers,Final Destination,Player 1
18,master-diamond,Jigglypuff,Fox,Dream Land,Player 1
19,diamond-diamond,Captain Falcon,Sheik,Pokémon Stadium,Player 2
20,master-diamond,Marth,Falco,Yoshi’s Story,Player 1
21,master-diamond,Pikachu,Marth,Final Destination,Player 1
22,platinum-diamond,Falco,Samus,Yoshi’s Story,Player 2
23,platinum-platinum,Ness,Falco,Final Destination,Player 2
24,platinum-diamond,Dr. Mario,Fox,Pokémon Stadium,Player 1
25,master-diamond,Peach,Falco,Final Destination,Player 2
26,master-master,Sheik,Falco,Final Destination,Player 2
27,diamond-diamond,Peach,Fox,Final Destination,Player 1
28,diamond-diamond,Ice Climbers,Falco,Dream Land,Player 1
29,master-master,Falco,Ganondorf,Yoshi’s Story,Player 1
30,master-diamond,Ganondorf,Falco,Final Destination,Player 2
31,master-master,Falco,Peach,Final Destination,Player 1
32,platinum-diamond,Peach,Fox,Final Destination,Player 2
33,diamond-diamond,Falco,Captain Falcon,Pokémon Stadium,Player 1
34,master-diamond,Marth,Sheik,Pokémon Stadium,Player 1
35,master-platinum,Falco,Marth,Yoshi’s Story,Player 1
36,diamond-diamond,Falco,Samus,Fountain of Dreams,Player 1
37,master-platinum,Pikachu,Captain Falcon,Final Destination,Player 1
38,platinum-diamond,Captain Falcon,Sheik,Final Destination,Player 1
39,platinum-platinum,Ice Climbers,Marth,Pokémon Stadium,Player 1
40,master-diamond,Sheik,Fox,Pokémon Stadium,Player 1
41,master-platinum,Ice Climbers,Fox,Fountain of Dreams,Player 1
42,diamond-diamond,Falco,Captain Falcon,Dream Land,Player 1
43,master-platinum,Captain Falcon,Fox,Final Destination,Player 2
44,master-platinum,Jigglypuff,Sheik,Battlefield,Player 1
45,platinum-platinum,Falco,Falco,Dream Land,Player 1
46,platinum-diamond,Jigglypuff,Marth,Final Destination,Player 2
47,master-diamond,Falco,Falco,Yoshi’s Story,Player 2
48,master-diamond,Falco,Marth,Yoshi’s Story,Player 1
49,master-platinum,Falco,Falco,Pokémon Stadium,Player 1
50,platinum-platinum,Captain Falcon,Peach,Final Destination,Player 2
51,diamond-diamond,Falco,Jigglypuff,Yoshi’s Story,Player 1
52,master-diamond,Samus,Falco,Pokémon Stadium,Player 1
53,diamond-diamond,Marth,Marth,Final Destination,Player 2
54,master-platinum,Fox,Fox,Final Destination,Player 1
55,master-platinum,Captain Falcon,Marth,Final Destination,Player 2
56,platinum-platinum,Marth,Falco,Final Destination,Player 1
57,master-master,Sheik,Yoshi,Fountain of Dreams,Player 1
58,platinum-diamond,Fox,Falco,Pokémon Stadium,Player 2
59,platinum-platinum,Fox,Falco,Final Destination,Player 1
60,master-diamond,Fox,Falco,Final Destination,Player 1
61,master-diamond,Sheik,Marth,Fountain of Dreams,Player 1
62,master-diamond,Ice Climbers,Falco,Dream Land,Player 2
63,diamond-diamond,Sheik,Bowser,Fountain of Dreams,Player 2
64,master-master,Falco,Pikachu,Final Destination,Player 2
65,diamond-diamond,Fox,Ness,Final Destination,Player 1
66,master-master,Pikachu,Peach,Yoshi’s Story,Player 1
67,diamond-diamond,Falco,Zelda/Sheik,Pokémon Stadium,Player 2
68,platinum-diamond,Fox,Samus,Yoshi’s Story,Player 2
69,master-platinum,Falco,Falco,Pokémon Stadium,Player 2
70,diamond-diamond,Ice Climbers,Marth,Fountain of Dreams,Player 1
71,platinum-diamond,Ice Climbers,Fox,Battlefield,Player 2
72,master-platinum,Fox,Marth,Final Destination,Player 2
73,master-diamond,Donkey Kong,Fox,Final Destination,Player 1
74,platinum-platinum,Marth,Samus,Yoshi’s Story,Player 1
75,platinum-diamond,Falco,Falco,Dream Land,Player 2
76,master-diamond,Fox,Captain Falcon,Final Destination,Player 2
77,platinum-platinum,Fox,Falco,Final Destination,Player 1
78,master-master,Falco,Fox,Final Destination,Player 2
79,master-platinum,Fox,Fox,Yoshi’s Story,Player 1
80,master-platinum,Jigglypuff,Fox,Fountain of Dreams,Player 1
81,platinum-platinum,Marth,Captain Falcon,Yoshi’s Story,Player 1
82,master-master,Fox,Ganondorf,Yoshi’s Story,Player 1
83,master-platinum,Fox,Fox,Battlefield,Player 2
84,master-diamond,Falco,Ganondorf,Yoshi’s Story,Player 2
85,master-platinum,Captain Falcon,Falco,Final Destination,Player 1
86,platinum-platinum,Falco,Yoshi,Battlefield,Player 1
87,platinum-platinum,Captain Falcon,Mr. Game & Watch,Fountain of Dreams,Player 1
88,master-diamond,Fox,Marth,Fountain of Dreams,Player 2
89,master-master,Falco,Fox,Final Destination,Player 2
90,master-master,Samus,Fox,Pokémon Stadium,Player 2
