Rank,Player 1,Player 2,Stage,Winner
master-master,Captain Falcon,Fox,Pokémon Stadium,Player 2
master-master,Captain Falcon,Captain Falcon,Final Destination,Player 2
master-master,Luigi,Marth,Final Destination,Player 1
master-master,Ice Climbers,Falco,Fountain of Dreams,Player 2
master-master,Fox,Samus,Pokémon Stadium,Player 1
master-master,Captain Falcon,Falco,Yoshi’s Story,Player 1
master-master,Sheik,Falco,Yoshi’s Story,Player 2
master-master,Marth,Falco,Yoshi’s Story,Player 2
master-master,Fox,Captain Falcon,Final Destination,Player 2
master-master,Marth,Yoshi,Final Destination,Player 2
master-master,Yoshi,Falco,Battlefield,Player 2
master-master,Captain Falcon,Jigglypuff,Final Destination,Player 1
master-master,Peach,Falco,Final Destination,Player 1
master-master,Captain Falcon,Captain Falcon,Pokémon Stadium,Player 1
master-master,Yoshi,Peach,Battlefield,Player 1
master-master,Falco,Fox,Final Destination,Player 1
master-master,Sheik,Falco,Yoshi’s Story,Player 2
master-master,Falco,Samus,Final Destination,Player 1
master-master,Pikachu,Peach,Yoshi’s Story,Player 2
master-master,Captain Falcon,Marth,Final Destination,Player 1
master-master,Fox,Fox,Pokémon Stadium,Player 2
master-master,Samus,Sheik,Battlefield,Player 2
master-master,Peach,Falco,Final Destination,Player 1
master-master,Pikachu,Sheik,Yoshi’s Story,Player 1
master-master,Ice Climbers,Fox,Final Destination,Player 1
master-master,Pikachu,Captain Falcon,Pokémon Stadium,Player 2
master-master,Falco,Fox,Fountain of Dreams,Player 1
master-master,Fox,Captain Falcon,Pokémon Stadium,Player 2
master-master,Peach,Sheik,Pokémon Stadium,Player 1
master-master,Sheik,Falco,Dream Land,Player 1
master-master,Fox,Captain Falcon,Pokémon Stadium,Player 2
master-master,Falco,Fox,Battlefield,Player 2
master-master,Jigglypuff,Fox,Battlefield,Player 2
master-master,Jigglypuff,Dr. Mario,Battlefield,Player 1
master-master,Captain Falcon,Yoshi,Yoshi’s Story,Player 1
master-master,Falco,Fox,Final Destination,Player 1
